Date,risk_free_rate
2024-05,1.624
2024-04,1.668
2024-03,1.4258
2024-02,1.22
2024-01,1.2099
2023-12,1.211
2023-11,1.2647
2023-10,1.3106
2023-09,1.2491
2023-08,1.18
2023-07,1.176
2023-06,1.16
2023-05,1.1715
2023-04,1.1866
2023-03,1.2
2023-02,1.19
2023-01,1.1983
2022-12,1.2812
2022-11,1.485
2022-10,1.7792
2022-09,1.6533
2022-08,1.196
2022-07,1.1311
2022-06,1.2462
2022-05,1.1527
2022-04,1.2637
2022-03,0.9493
2022-02,0.71
2022-01,0.6898
2021-12,0.7413
2021-11,0.5529
2021-10,0.5762
2021-09,0.45
2021-08,0.4199
2021-07,0.4039
2021-06,0.4245
2021-05,0.4395
2021-04,0.405
2021-03,0.449
2021-02,0.4388
2021-01,0.306
2020-12,0.315
2020-11,0.2405
2020-10,0.2952
2020-09,0.4007
2020-08,0.4197
2020-07,0.4106
2020-06,0.45
2020-05,0.4533
2020-04,0.48
2020-03,0.48
2020-02,0.5327
2020-01,0.5862
2019-12,0.672
2019-11,0.6823
2019-10,0.6874
2019-09,0.7232
2019-08,0.6443
2019-07,0.6837
2019-06,0.684
2019-05,0.7052
2019-04,0.7333
2019-03,0.7653
2019-02,0.82
2019-01,0.87
2018-12,0.8648
2018-11,0.9503
2018-10,0.8916
2018-09,0.8687
2018-08,0.8243
2018-07,0.8597
2018-06,0.9268
2018-05,0.9973
2018-04,1.0134
2018-03,0.9857
2018-02,1.0393
2018-01,1.0364
2017-12,0.9478
2017-11,0.9952
2017-10,1.04
2017-09,1.0302
2017-08,1.0238
2017-07,1.0282
2017-06,1.0693
2017-05,1.0304
2017-04,1.0884
2017-03,1.0899
2017-02,1.0739
2017-01,1.1508
2016-12,1.2037
2016-11,1.097
2016-10,0.9916
2016-09,0.7114
2016-08,0.6739
2016-07,0.6758
2016-06,0.7599
2016-05,0.8285
2016-04,0.8596
2016-03,0.8504
2016-02,0.8576
2016-01,0.9153
2015-12,1.015
2015-11,1.142
2015-10,1.1959
2015-09,1.1418
2015-08,1.1295
2015-07,1.4508
2015-06,1.4998
2015-05,1.53
2015-04,1.5678
2015-03,1.5411
2015-02,1.5882
2015-01,1.4849
2014-12,1.6015
2014-11,1.5854
2014-10,1.635
2014-09,1.7172
2014-08,1.599
2014-07,1.607
2014-06,1.5799
2014-05,1.4971
2014-04,1.5378
2014-03,1.5902
2014-02,1.583
2014-01,1.6245
2013-12,1.6797
2013-11,1.6657
2013-10,1.6219
2013-09,1.6863
2013-08,1.723
2013-07,1.5188
2013-06,1.4005
2013-05,1.3438
2013-04,1.2025
2013-03,1.3006
2013-02,1.2116
2013-01,1.1875
2012-12,1.1673
2012-11,1.1333
2012-10,1.1321
2012-09,1.1692
2012-08,1.1799
2012-07,1.1682
2012-06,1.2191
2012-05,1.2063
2012-04,1.2695
2012-03,1.2708
2012-02,1.2768
2012-01,1.2655
2011-12,1.2856
2011-11,1.317
2011-10,1.3743
2011-09,1.2885
2011-08,1.4109
2011-07,1.5896
2011-06,1.5087
2011-05,1.4622
2011-04,1.4206
2011-03,1.3493
2011-02,1.4049
2011-01,1.3754
2010-12,1.5357
2010-11,1.399
2010-10,1.2507
2010-09,1.1995
2010-08,1.1443
2010-07,1.3638
2010-06,1.4039
2010-05,1.3779
2010-04,1.4373
2010-03,1.4429
2010-02,1.406
2010-01,1.4685
2009-12,1.5403
2009-11,1.4517
2009-10,1.4254
2009-09,1.3963
2009-08,1.4676
2009-07,1.5265
2009-06,1.6299
2009-05,1.6103
2009-04,1.6
2009-03,1.5405
2009-02,1.4308
2009-01,1.52
2008-12,1.3748
2008-11,1.4973
2008-10,1.983
2008-09,2.0231
2008-08,2.4988
2008-07,2.4949
2008-06,2.6888
2008-05,2.6387
2008-04,2.4976
2008-03,2.4192
2008-02,2.4237
2008-01,2.3354
2007-12,2.5903
2007-11,2.5473
2007-10,2.6935
2007-09,2.6221
2007-08,2.4644
2007-07,2.6485
2007-06,2.4844
2007-05,2.2236
2007-04,2.0734
2007-03,1.9501
2007-02,1.9702
